year,code,head,page,dept,dept_name,raw_line
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),215,401,HEALTH DEPARTMENT,13.34 52.25 50.00 23306 PENALTY RECOVERED FROM
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),216,411,CATTLE NUISANCE CONTROL,0.49 6.47 10.00 23306 PENALTY RECOVERED FROM
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),218,609,ZOO,0.10 0.17 0.40 23306 PENALTY RECOVERED FROM
2022-23-EN,DEPT371,DEPT TOTAL,240,371,ENGG.DEPT. GENERAL 11285.04 9794.76 13333.51 13753.09 13686.,371 ENGG.DEPT. GENERAL 11285.04 9794.76 13333.51 13753.09 13686.50 13946.04 13946.04
2022-23-EN,38401,ROADS STREETS AND PAVEMENTS (rev exp),240,381,"ROADS,STREETS, PAVEMENTS",1262.06 711.71 1260.00 38401 ROADS STREETS AND PAVEMENTS 1260.00 1710.00 1260.00 1260.00
2022-23-EN,38407,FOOT-PATH PAVEMENTS (rev exp),240,381,"ROADS,STREETS, PAVEMENTS",172.16 125.75 256.30 38407 FOOT-PATH PAVEMENTS 255.00 276.00 255.00 255.00
2022-23-EN,38413,POLE PAVEMENTS (rev exp),240,381,"ROADS,STREETS, PAVEMENTS",31.57 30.43 65.00 38413 POLE PAVEMENTS 65.00 68.00 65.00 65.00
2022-23-EN,DEPT381,DEPT TOTAL,240,381,"ROADS,STREETS, 3882.45 3645.30 3006.10 4446.42 3712.17 3882.","381 ROADS,STREETS, 3882.45 3645.30 3006.10 4446.42 3712.17 3882.45 3882.45"
2022-23-EN,DEPT371,DEPT TOTAL,262,371,ENGG.DEPT. GENERAL 104484.40 34734.90 45842.96 72335.00 6624,371 ENGG.DEPT. GENERAL 104484.40 34734.90 45842.96 72335.00 66243.50 109409.40 109409.40
2022-23-EN,64401,ROADS AND STREETS RESURFACING (capex),262,381,"ROADS,STREETS, PAVEMENTS",0.00 0.00 0.00 64401 ROADS AND STREETS RESURFACING 0.00 0.00 450.00 450.00
